PERIMETER,AREA,LENGTH,HEIGHT,OUTPUT
886,14857,190,130,PAPER
825,13924,186,141,PAPER
829,13802,187,113,PAPER
834,13506,183,133,PAPER
827,13092,180,132,PAPER
789,12523,175,129,PAPER
794,12149,173,125,PAPER
793,11633,169,121,PAPER
839,11540,169,99,PAPER
809,11275,166,120,PAPER
818,11128,165,99,PAPER
855,10941,165,98,PAPER
887,10711,161,122,PAPER
854,11051,164,125,PAPER
770,11538,167,128,PAPER
782,12212,172,129,PAPER
793,12473,175,108,PAPER
777,12016,170,129,PAPER
773,11713,169,104,PAPER
816,11212,165,102,PAPER
803,10829,161,115,PAPER
855,10374,158,114,PAPER
861,10381,158,115,PAPER
831,10888,162,120,PAPER
779,11593,167,130,PAPER
797,12371,175,116,PAPER
786,12742,177,140,PAPER
827,13482,183,136,PAPER
828,13623,182,133,PAPER
830,13600,183,130,PAPER
822,13550,183,129,PAPER
827,13821,186,132,PAPER
836,14074,188,134,PAPER
840,14298,189,133,PAPER
887,16150,199,129,PAPER
912,15768,200,129,PAPER
887,14877,195,129,PAPER
874,14040,189,125,PAPER
815,13128,178,113,PAPER
772,12205,166,126,PAPER
772,12144,167,125,PAPER
751,12194,168,121,PAPER
753,11969,166,119,PAPER
733,11534,162,108,PAPER
740,11547,163,117,PAPER
802,12824,175,120,PAPER
827,13741,181,125,PAPER
895,15140,192,130,PAPER
900,16086,197,132,PAPER
960,17326,206,132,PAPER
989,18991,215,133,PAPER
1078,20636,226,137,PAPER
1111,21433,227,140,PAPER
1139,22786,234,143,PAPER
1100,21717,227,142,PAPER
1026,20525,221,139,PAPER
1002,19336,216,136,PAPER
994,18431,211,138,PAPER
946,18074,209,136,PAPER
924,17466,206,137,PAPER
936,16967,205,137,PAPER
898,16385,201,138,PAPER
905,15870,199,142,PAPER
878,15604,197,124,PAPER
916,15636,198,126,PAPER
854,15173,195,153,PAPER
875,15128,196,131,PAPER
869,15117,195,131,PAPER
887,15178,195,145,PAPER
861,15138,194,119,PAPER
859,14866,191,126,PAPER
853,14842,192,121,PAPER
839,14357,189,108,PAPER
828,13912,186,111,PAPER
828,13376,185,113,PAPER
825,13339,186,116,PAPER
817,13219,185,122,PAPER
797,13125,183,127,PAPER
849,13393,185,136,PAPER
830,13563,186,141,PAPER
845,13911,188,139,PAPER
863,14165,190,123,PAPER
847,14296,190,122,PAPER
879,14805,190,140,PAPER
863,14593,189,136,PAPER
